Freq.	V(n007)/V(n010)	V(n002)/V(n010)	V(n004)/V(n002)	V(n004)/V(n010)	V(n004)	V(p002)
7.07945784384134e+04	(-1.66468982400836e-04dB,-1.21139986452521e+00°)	(-2.94191853475499e+00dB,9.57808569416281e+01°)	(5.82275632764795e-01dB,9.97720113588157e+01°)	(-2.35964290199019e+00dB,-1.64447131699556e+02°)	(-4.23596429019902e+01dB,-1.64447131699556e+02°)	(-4.29425044853847e+01dB,9.60654400727130e+01°)
7.24435960074987e+04	(-1.65129037604683e-04dB,-1.23953911123022e+00°)	(-3.58565100667361e+00dB,9.50844635093713e+01°)	(-3.75749552227953e-01dB,9.84991627553967e+01°)	(-3.96140055890157e+00dB,-1.66416373735232e+02°)	(-4.39614005589016e+01dB,-1.66416373735232e+02°)	(-4.35861666733143e+01dB,9.53612844484252e+01°)
7.41310241300914e+04	(-1.63148308473994e-04dB,-1.26834326350148e+00°)	(-4.18998196041336e+00dB,9.44651960533901e+01°)	(-1.24535506345876e+00dB,9.74520217357477e+01°)	(-5.43533702387212e+00dB,-1.68082782210862e+02°)	(-4.54353370238721e+01dB,-1.68082782210862e+02°)	(-4.41904475599770e+01dB,9.47346877108820e+01°)
7.58577575029180e+04	(-1.60630075183977e-04dB,-1.29782632867196e+00°)	(-4.75983737578199e+00dB,9.39088578168381e+01°)	(-2.04173212026569e+00dB,9.65728249788914e+01°)	(-6.80156949604768e+00dB,-1.69518317204271e+02°)	(-4.68015694960477e+01dB,-1.69518317204271e+02°)	(-4.47602662145613e+01dB,9.41713793100251e+01°)
7.76247116628688e+04	(-1.57646375979341e-04dB,-1.32800295740988e+00°)	(-5.29931815713087e+00dB,9.34044257334010e+01°)	(-2.77661658776442e+00dB,9.58217640161000e+01°)	(-8.07593474489528e+00dB,-1.70773810250499e+02°)	(-4.80759347448953e+01dB,-1.70773810250499e+02°)	(-4.52997192931770e+01dB,9.36602828631323e+01°)
7.94328234724277e+04	(-1.54247608203991e-04dB,-1.35888838132786e+00°)	(-5.81187076542998e+00dB,9.29432176021161e+01°)	(-3.45923496222251e+00dB,9.51705478375162e+01°)	(-9.27110572765248e+00dB,-1.71886234560368e+02°)	(-4.92711057276525e+01dB,-1.71886234560368e+02°)	(-4.58122505451121e+01dB,9.31926766500705e+01°)
8.12830516164095e+04	(-1.50468837196242e-04dB,-1.39049837056965e+00°)	(-6.30041677859396e+00dB,9.25183050309217e+01°)	(-4.09695683885863e+00dB,9.45985356648701e+01°)	(-1.03973736174526e+01dB,-1.72883159304208e+02°)	(-5.03973736174526e+01dB,-1.72883159304208e+02°)	(-4.63007797606997e+01dB,9.27616022612032e+01°)
8.31763771102667e+04	(-1.46334029584278e-04dB,-1.42284920537052e+00°)	(-6.76745245454643e+00dB,9.21240927810399e+01°)	(-4.69575298278366e+00dB,9.40903230127275e+01°)	(-1.14632054373301e+01dB,-1.73785584206233e+02°)	(-5.14632054373301e+01dB,-1.73785584206233e+02°)	(-4.67678019861530e+01dB,9.23614411278747e+01°)
8.51138038202372e+04	(-1.41858948165741e-04dB,-1.45595765753837e+00°)	(-7.21512610840107e+00dB,9.17560126005961e+01°)	(-5.26052285244378e+00dB,9.36341839881881e+01°)	(-1.24756489608449e+01dB,-1.74609803411216e+02°)	(-5.24756489608449e+01dB,-1.74609803411216e+02°)	(-4.72154646950016e+01dB,9.19876064744703e+01°)
8.70963589956076e+04	(-1.37053165308307e-04dB,-1.48984097908788e+00°)	(-7.64529888653436e+00dB,9.14102971005206e+01°)	(-5.79533295106745e+00dB,9.32210365122380e+01°)	(-1.34406318376018e+01dB,-1.75368666387241e+02°)	(-5.34406318376018e+01dB,-1.75368666387241e+02°)	(-4.76456284364496e+01dB,9.16363159100770e+01°)
8.91250938133741e+04	(-1.31921484976923e-04dB,-1.52451689611598e+00°)	(-8.05959297571236e+00dB,9.10838104573564e+01°)	(-6.30359318332418e+00dB,9.28437371398985e+01°)	(-1.43631861590365e+01dB,-1.76072452402745e+02°)	(-5.43631861590365e+01dB,-1.76072452402745e+02°)	(-4.80599149653849e+01dB,9.13044212373641e+01°)
9.12010839355905e+04	(-1.26464960223823e-04dB,-1.56000360658142e+00°)	(-8.45943020171824e+00dB,9.07739200520503e+01°)	(-6.78818936195030e+00dB,9.24965895052709e+01°)	(-1.52476195636686e+01dB,-1.76729490442679e+02°)	(-5.52476195636686e+01dB,-1.76729490442679e+02°)	(-4.84597457898928e+01dB,9.09892794575798e+01°)
9.33254300796986e+04	(-1.20681629788804e-04dB,-1.59631978104273e+00°)	(-8.84606320288545e+00dB,9.04783980023803e+01°)	(-7.25158418640406e+00dB,9.21749947029533e+01°)	(-1.60976473892895e+01dB,-1.77346607294666e+02°)	(-5.60976473892895e+01dB,-1.77346607294666e+02°)	(-4.88463733109884e+01dB,9.06886538458713e+01°)
9.54992586021431e+04	(-1.14567056451370e-04dB,-1.63348456567887e+00°)	(-9.22060081217637e+00dB,9.01953448050221e+01°)	(-7.69589520269788e+00dB,9.18751980906150e+01°)	(-1.69164960148742e+01dB,-1.77929457104363e+02°)	(-5.69164960148742e+01dB,-1.77929457104363e+02°)	(-4.92209061818717e+01dB,9.04006372584185e+01°)
9.77237220955805e+04	(-1.08114723409268e-04dB,-1.67151758710379e+00°)	(-9.58402888133022e+00dB,8.99231295253391e+01°)	(-8.12295571548801e+00dB,9.15941029129211e+01°)	(-1.77069845968182e+01dB,-1.78482767561740e+02°)	(-5.77069845968182e+01dB,-1.78482767561740e+02°)	(-4.95843301163710e+01dB,9.01235920731933e+01°)
9.99999999999995e+04	(-1.01316327586148e-04dB,-1.71043895861853e+00°)	(-9.93722748744548e+00dB,8.96603425098368e+01°)	(-8.53436290642920e+00dB,9.13291310759676e+01°)	(-1.84715903938747e+01dB,-1.79010526414196e+02°)	(-5.84715903938747e+01dB,-1.79010526414196e+02°)	(-4.99375250845343e+01dB,8.98561027147286e+01°)
1.02329299228075e+05	(-9.41619972424084e-05dB,-1.75026928763983e+00°)	(-1.02809852454246e+01dB,8.94057576734618e+01°)	(-8.93151623285460e+00dB,9.10781177408909e+01°)	(-1.92125014782792e+01dB,-1.79516124585647e+02°)	(-5.92125014782792e+01dB,-1.79516124585647e+02°)	(-5.02812796172618e+01dB,8.95969377981766e+01°)
1.04712854805089e+05	(-8.66404531559476e-05dB,-1.79102968411043e+00°)	(-1.06160112876359e+01dB,8.91583021785974e+01°)	(-9.31564835785431e+00dB,9.08392305390658e+01°)	(-1.99316596454902e+01dB,1.79997532717663e+02°)	(-5.99316596454902e+01dB,1.79997532717663e+02°)	(-5.06163027803359e+01dB,8.93450196976966e+01°)
1.07151930523760e+05	(-7.87391274302099e-05dB,-1.83274176974775e+00°)	(-1.09429453499543e+01dB,8.89170318719037e+01°)	(-9.68785028069967e+00dB,9.06109069590073e+01°)	(-2.06307956306540e+01dB,1.79527938830911e+02°)	(-6.06307956306540e+01dB,1.79527938830911e+02°)	(-5.09432342563494e+01dB,8.90993998969484e+01°)
1.09647819614318e+05	(-7.04442499260140e-05dB,-1.87542768802244e+00°)	(-1.12623663104139e+01dB,8.86811112441747e+01°)	(-1.00490919193351e+01dB,9.03918053138376e+01°)	(-2.13114582297491e+01dB,1.79072916558012e+02°)	(-6.13114582297491e+01dB,1.79072916558012e+02°)	(-5.12626528803183e+01dB,8.88592388808506e+01°)
1.12201845430196e+05	(-6.17409097205439e-05dB,-1.91911011478659e+00°)	(-1.15747994554426e+01dB,8.84497969713252e+01°)	(-1.04002390938996e+01dB,9.01807659760354e+01°)	(-2.19750385493422e+01dB,1.78630562947361e+02°)	(-6.19750385493422e+01dB,1.78630562947361e+02°)	(-5.15750839036458e+01dB,8.86237896223397e+01°)
1.14815362149688e+05	(-5.26130972851645e-05dB,-1.96381226949117e+00°)	(-1.18807226935705e+01dB,8.82224243118160e+01°)	(-1.07420676379752e+01dB,8.99767804578369e+01°)	(-2.26227903315457e+01dB,1.78199204769653e+02°)	(-6.26227903315457e+01dB,1.78199204769653e+02°)	(-5.18810052061164e+01dB,8.83923839362226e+01°)
1.17489755493952e+05	(-4.30437313379069e-05dB,-2.00955792694799e+00°)	(-1.21805718936160e+01dB,8.79983957983857e+01°)	(-1.10752751993113e+01dB,8.97789665464394e+01°)	(-2.32558470929273e+01dB,1.77777362344825e+02°)	(-6.32558470929273e+01dB,1.77777362344825e+02°)	(-5.21808526327758e+01dB,8.81644211355918e+01°)
1.20226443461741e+05	(-3.30146734643504e-05dB,-2.05637142960340e+00°)	(-1.24747454907144e+01dB,8.77771717846877e+01°)	(-1.14004911680953e+01dB,8.95865481551266e+01°)	(-2.38752366588097e+01dB,1.77363719939814e+02°)	(-6.38752366588097e+01dB,1.77363719939814e+02°)	(-5.24750245989556e+01dB,8.79393585496077e+01°)
1.23026877081237e+05	(-2.25067330499857e-05dB,-2.10427770029973e+00°)	(-1.27636084769974e+01dB,8.75582625008812e+01°)	(-1.17182850772226e+01dB,8.93988388791126e+01°)	(-2.44818935542199e+01dB,1.76957101379994e+02°)	(-6.44818935542199e+01dB,1.76957101379994e+02°)	(-5.27638860801742e+01dB,8.77167035553268e+01°)
1.25892541179416e+05	(-1.14996642252836e-05dB,-2.15330225550819e+00°)	(-1.30474958726249e+01dB,8.73412213439242e+01°)	(-1.20291737475111e+01dB,8.92152284851343e+01°)	(-2.50766696201360e+01dB,1.76556449829059e+02°)	(-6.50766696201360e+01dB,1.76556449829059e+02°)	(-5.30477720825614e+01dB,8.74960068482807e+01°)
1.28824955169313e+05	(2.78437906445181e-08dB,-2.20347121902238e+00°)	(-1.33267157559977e+01dB,8.71256391837531e+01°)	(-1.23336273957195e+01dB,8.90351717417463e+01°)	(-2.56603431517172e+01dB,1.76160810925499e+02°)	(-6.56603431517172e+01dB,1.76160810925499e+02°)	(-5.33269906725920e+01dB,8.72768567321846e+01°)
1.31825673855640e+05	(1.20981816920850e-05dB,-2.25481133610610e+00°)	(-1.36015519184048e+01dB,8.69111395096913e+01°)	(-1.26320748804558e+01dB,8.88581791303403e+01°)	(-2.62336267988606e+01dB,1.75769318640032e+02°)	(-6.62336267988606e+01dB,1.75769318640032e+02°)	(-5.36018256313553e+01dB,8.70588742514882e+01°)
1.34896288259165e+05	(2.47348397014170e-05dB,-2.30734998809283e+00°)	(-1.38722661973899e+01dB,8.66973742752526e+01°)	(-1.29249082276003e+01dB,8.86838090773306e+01°)	(-2.67971744249902e+01dB,1.75381183352583e+02°)	(-6.67971744249902e+01dB,1.75381183352583e+02°)	(-5.38725387876182e+01dB,8.68417090244429e+01°)
1.38038426460288e+05	(3.79624310634094e-05dB,-2.36111520743742e+00°)	(-1.41391005341933e+01dB,8.64840203261838e+01°)	(-1.32124865504975e+01dB,8.85116614243791e+01°)	(-2.73515870846908e+01dB,1.74995681750563e+02°)	(-6.73515870846908e+01dB,1.74995681750563e+02°)	(-5.41393720750257e+01dB,8.66250356611426e+01°)
